time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-26T08:47:18.180Z,17.8875,-66.9081,10,2.81,md,10,241,0.0922,0.05,pr,pr2020057015,2020-02-26T09:02:08.670Z,"9km S of Guanica, Puerto Rico",earthquake,0.67,0.47,0.17,2,reviewed,pr,pr
2020-02-26T08:40:37.140Z,17.9116,-66.9393,13,3.18,md,10,234,0.0874,0.1,pr,pr2020057014,2020-02-26T09:00:04.988Z,"7km SSW of Guanica, Puerto Rico",earthquake,0.99,0.38,0.19,4,reviewed,pr,pr
2020-02-26T08:03:36.930Z,17.9361,-66.8675,10,2.75,md,10,221,0.0407,0.07,pr,pr2020057013,2020-02-26T08:38:43.728Z,"5km SE of Guanica, Puerto Rico",earthquake,0.75,0.36,0.26,5,reviewed,pr,pr
2020-02-26T07:41:32.820Z,18.0021,-66.8021,15,3,md,10,173,0.0817,0.12,pr,pr2020057012,2020-02-26T12:17:24.267Z,"2km SSW of Guayanilla, Puerto Rico",earthquake,1.02,1.16,0.15,6,reviewed,pr,pr
2020-02-26T07:37:38.740Z,17.9141,-66.893,5,2.93,md,10,230,0.0625,0.06,pr,pr2020057010,2020-02-26T07:51:21.946Z,"6km SSE of Guanica, Puerto Rico",earthquake,0.73,0.36,0.17,5,reviewed,pr,pr
2020-02-26T07:33:49.700Z,17.9648,-66.7193,13,3.16,md,10,214,0.1374,0.11,pr,pr2020057011,2020-02-26T11:54:11.975Z,"3km S of Tallaboa, Puerto Rico",earthquake,1.01,0.38,0.23,5,reviewed,pr,pr
2020-02-26T07:33:13.350Z,-7.5625,131.1195,61.16,5.9,mww,,35,0.453,1.44,us,us600084gu,2020-02-26T23:43:16.059Z,"48km NNW of Saumlaki, Indonesia",earthquake,7.3,5.1,0.071,19,reviewed,us,us
2020-02-26T06:17:38.704Z,-35.8828,-178.9063,10,4.8,mb,,161,2.797,0.61,us,us600084g0,2020-02-26T06:43:50.040Z,"East of the North Island of New Zealand",earthquake,9.8,2,0.143,15,reviewed,us,us
2020-02-26T05:34:13.180Z,23.7991,121.6798,10,4.8,mb,,87,0.381,1.02,us,us600084fu,2020-02-26T06:34:27.197Z,"21km SSE of Hualian, Taiwan",earthquake,2.7,1.9,0.079,49,reviewed,us,us
2020-02-26T04:24:19.670Z,17.953,-66.8861,14,2.71,md,6,214,0.0232,0.07,pr,pr2020057008,2020-02-26T07:59:42.962Z,"2km S of Maria Antonia, Puerto Rico",earthquake,1.04,0.53,0.08,3,reviewed,pr,pr
2020-02-26T03:40:36.195Z,-18.8935,-69.3412,116.79,4.4,mb,,87,0.577,0.78,us,us600084ex,2020-02-26T03:52:42.040Z,"80km SSE of Putre, Chile",earthquake,5.1,6.9,0.179,9,reviewed,us,us
2020-02-26T03:30:31.380Z,17.9211,-66.8673,10,3.06,md,10,227,0.0553,0.1,pr,pr2020057007,2020-02-26T06:23:34.166Z,"6km SSE of Maria Antonia, Puerto Rico",earthquake,0.88,0.48,0.25,5,reviewed,pr,pr
2020-02-26T03:18:28.670Z,17.9376,-66.8248,12,2.57,md,8,222,0.0661,0.09,pr,pr2020057006,2020-02-26T03:37:13.955Z,"6km S of Indios, Puerto Rico",earthquake,1.09,0.46,0.25,2,reviewed,pr,pr
2020-02-26T02:42:19.000Z,17.951,-66.5948,7,2.73,md,8,202,0.0925,0.12,pr,pr2020057005,2020-02-26T03:48:36.084Z,"6km SSE of Ponce, Puerto Rico",earthquake,0.75,0.32,0.31,6,reviewed,pr,pr
2020-02-26T02:29:06.100Z,19.1338,-67.2156,20,3.5,md,10,288,0.6744,0.22,pr,pr2020057004,2020-02-26T03:44:21.982Z,"55km N of Isabela, Puerto Rico",earthquake,1.29,18.67,0.28,5,reviewed,pr,pr
2020-02-26T01:53:10.910Z,17.9561,-66.8141,11,2.69,md,7,215,0.0678,0.07,pr,pr2020057003,2020-02-26T02:25:29.945Z,"4km S of Indios, Puerto Rico",earthquake,0.83,0.41,0.31,2,reviewed,pr,pr
2020-02-26T01:49:16.496Z,61.046,-152.3852,97.3,2.8,ml,,,,0.92,ak,ak0202mair3j,2020-02-26T02:03:02.945Z,"65km NNE of Redoubt Volcano, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-02-26T01:41:14.470Z,44.7956667,-111.5413333,11.85,2.64,ml,50,42,0.017,0.21,mb,mb80383064,2020-02-26T15:39:55.490Z,"37km WNW of West Yellowstone, Montana",earthquake,0.32,0.42,0.172,22,reviewed,mb,mb
2020-02-26T01:32:27.920Z,17.953,-66.8596,13,2.52,md,8,214,0.0295,0.06,pr,pr2020057002,2020-02-26T02:01:05.792Z,"4km SE of Maria Antonia, Puerto Rico",earthquake,0.87,0.24,0.31,7,reviewed,pr,pr
2020-02-26T01:23:39.798Z,-21.3945,-67.2874,198.88,4.5,mb,,66,1.756,0.8,us,us600084d8,2020-02-26T01:38:03.040Z,"114km SSW of Uyuni, Bolivia",earthquake,8.2,7.8,0.157,12,reviewed,us,us
2020-02-26T00:23:32.962Z,15.8766,119.2185,10,5,mb,,94,7.124,0.73,us,us600084cv,2020-02-26T00:48:43.040Z,"59km W of Ilioilio, Philippines",earthquake,8.6,1.8,0.053,115,reviewed,us,us
2020-02-26T00:22:29.771Z,31.0926,130.3196,162.41,4.3,mb,,120,0.43,0.74,us,us600084d3,2020-02-26T01:31:01.040Z,"19km S of Makurazaki, Japan",earthquake,9.4,6.4,0.065,66,reviewed,us,us
2020-02-26T00:00:54.240Z,19.3178,-63.8093,57,3.36,md,10,250,1.4648,0.61,pr,pr2020057000,2020-02-26T01:19:36.040Z,"108km NE of Road Town, British Virgin Islands",earthquake,4.7,17.72,0.04,5,reviewed,pr,pr
2020-02-25T23:24:54.280Z,19.0986,-67.0855,22,3.24,md,9,280,0.6316,0.41,pr,pr2020056034,2020-02-25T23:41:55.845Z,"66km N of Isabela, Puerto Rico",earthquake,2.48,29.42,0.04,4,reviewed,pr,pr
2020-02-25T23:16:11.560Z,19.0413,-67.0623,23,3.37,md,10,275,0.5759,0.32,pr,pr2020056033,2020-02-25T23:43:31.040Z,"54km N of Isabela, Puerto Rico",earthquake,1.98,20.06,0.03,3,reviewed,pr,pr
2020-02-25T23:03:37.771Z,38.3128,38.7842,10,5,mww,,59,0.854,0.89,us,us600084bs,2020-02-26T13:59:21.148Z,"11km S of Kale, Turkey",earthquake,4.3,1.8,0.069,20,reviewed,us,us
2020-02-25T22:56:36.938Z,61.576,-146.547,15.7,3.3,ml,,,,0.82,ak,ak0202kzj1yd,2020-02-26T00:12:27.561Z,"55km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-25T22:35:19.300Z,35.3535,-117.8158333,3.97,3.32,ml,57,37,0.08932,0.2,ci,ci39083439,2020-02-26T15:48:55.279Z,"17km W of Johannesburg, CA",earthquake,0.17,0.62,0.194,145,reviewed,ci,ci
2020-02-25T22:28:15.107Z,38.4672,44.2139,10,4.3,mb,,88,0.921,0.94,us,us600084av,2020-02-26T06:30:48.485Z,"20km S of Saray, Turkey",earthquake,4.4,1.7,0.094,32,reviewed,us,us
2020-02-25T21:50:13.950Z,17.8108,-66.846,11,3.03,md,7,238,0.1676,0.09,pr,pr2020056031,2020-02-25T22:06:40.787Z,"18km SSE of Guanica, Puerto Rico",earthquake,0.75,0.59,0.01,3,reviewed,pr,pr
2020-02-25T21:48:42.473Z,37.3825,72.0109,137.45,4.3,mb,,57,2.095,0.96,us,us6000849j,2020-02-25T22:46:33.040Z,"21km NE of Roshtqal'a, Tajikistan",earthquake,6.9,5.1,0.094,32,reviewed,us,us
2020-02-25T21:17:33.363Z,-9.9377,161.0754,10,5.2,mb,,87,1.217,0.65,us,us6000848g,2020-02-25T21:47:12.040Z,"108km WNW of Kirakira, Solomon Islands",earthquake,8.8,1.9,0.045,166,reviewed,us,us
2020-02-25T20:50:50.833Z,5.2177,125.4593,71.83,4.6,mb,,111,1.843,0.97,us,us6000847i,2020-02-25T22:07:09.040Z,"20km S of Sarangani, Philippines",earthquake,3.2,8.7,0.075,53,reviewed,us,us
